# Pinned
# Versions
ada-url 4.0.0
aom 3.14.1
autoconf 2.73
automake 1.18.1_1
aws-c-auth 0.10.4
aws-c-cal 0.9.15
aws-c-common 0.14.5
aws-c-compression 0.3.2
aws-c-event-stream 0.7.1
aws-c-http 0.11.0
aws-c-io 0.27.6
aws-c-mqtt 0.16.1
aws-c-s3 0.13.5
aws-c-sdkutils 0.2.9
aws-checksums 0.2.10
awscli 2.36.22
bison 3.8.2
blake3 1.8.6
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-07-16
cairo 1.18.4
ccache 4.13.6_1
certifi 2026.7.22
cffi 2.1.1
clang-format 22.1.8
cloc 2.10
cmake 4.4.2
connect 1.106
cookiecutter 2.7.1_4
coreutils 9.11
corkscrew 2.0
cscope 15.9
dav1d 1.5.4
doxygen 1.17.0
fdupes 2.4.0
fmt 12.2.0
fontconfig 2.18.3
freetype 2.14.3
fribidi 1.0.16
gcc 16.1.0
gcc@11 11.5.0
gd 2.3.3_6
gdbm 1.26
gdk-pixbuf 2.44.8
gettext 1.0
gh 2.97.0
ghostscript 10.07.1
giflib 6.1.3
git 2.55.0
git-lfs 3.7.1
git-when-merged 1.2.1
glib 2.88.3
gmp 6.3.0
go 1.26.5
graphite2 1.3.15
graphviz 15.1.1
gts 0.7.6_3
harfbuzz 14.3.0
hdrhistogram_c 0.11.10
highway 1.4.0
hiredis 1.4.1
icu4c@78 78.3
imath 3.2.2
include-what-you-use 0.26
isl 0.28
jasper 4.2.9
jbig2dec 0.20
jpeg-turbo 3.2.0
jpeg-xl 0.12.0
jq 1.8.2
json-c 0.19
latexindent 4.0.2_1
leptonica 1.87.0
libarchive 3.8.9
libavif 1.4.2
libb2 0.98.1
libdatrie 0.2.14
libdeflate 1.25
libffi 3.8.0
libidn 1.44
libmpc 1.4.1
libnghttp2 1.70.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libpng 1.6.58
librsvg 2.62.3
libthai 0.1.30
libtiff 4.7.2
libtommath 1.3.0
libtool 2.6.2
libunistring 1.4.2
libuv 1.52.1
libvmaf 3.2.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
little-cms2 2.19
llhttp 9.4.3
llvm 22.1.8
lmod 9.3
lua 5.5.1
lua@5.4 5.4.8
lz4 1.10.0
lzo 2.10
m4 1.4.21
macvim 9.2.0321
merve 1.2.2_1
mpdecimal 4.0.1
mpfr 4.2.2
nbytes 0.1.4
netpbm 11.02.27
ninja 1.13.2
node 26.7.0
nox 2026.8.10
oniguruma 6.9.10
openexr 3.4.14
openjpeg 2.5.4
openjph 0.31.0
openssl@3 3.6.3
pandoc 3.10.1
pango 1.58.2
pcre2 10.47_1
perl 5.44.0
pixman 0.46.4
pkgconf 3.0.5
poetry 2.4.1_4
pre-commit 4.6.2
pycparser 3.0
pyenv 2.8.3
python@3.14 3.14.6
quicktype 26.0.0
readline 8.3.3
rename 1.601
ruby 4.0.6
s2n 1.7.7
simdjson 4.6.6
simdutf 9.0.0
spdlog 1.17.0
sqlite 3.53.4
tcl-tk 9.0.4
tesseract 5.5.3
typescript 7.0.2
uvwasi 0.0.23
webp 1.6.0
xorgproto 2025.1
xxhash 0.8.3
xz 5.8.3
z3 4.16.0
zstd 1.5.7_1
git-credential-manager 2.9.1
iterm2 3.5.13
jupyter-notebook-viewer 0.1.6
localsend 1.18.0
mactex 2026.0324
opensc-app 0.26.1
visual-studio-code 1.133.0
