# Pinned
# Versions
ada-url 4.0.0
aom 3.14.1
autoconf 2.73
automake 1.18.1_1
awscli 2.36.9
berkeley-db@5 5.3.28_1
bison 3.8.2
blake3 1.8.5
boost 1.90.0_1
brotli 1.2.0
c-ares 1.34.8
ca-certificates 2026-07-16
cairo 1.18.4
ccache 4.13.6_1
certifi 2026.7.22
cffi 2.1.0
clang-format 22.1.8
clang-include-graph 0.2.0_2
cloc 2.10
cmake 4.4.0
connect 1.106
cookiecutter 2.7.1_4
coreutils 9.11
cryptography 49.0.0
cscope 15.9
dav1d 1.5.4
doxygen 1.17.0
fdupes 2.4.0
fmt 12.2.0
fontconfig 2.18.2
freetype 2.14.3
fribidi 1.0.16
gcc 16.1.0
gd 2.3.3_6
gdbm 1.26
gdk-pixbuf 2.44.7
gettext 1.0
gh 2.96.0
ghostscript 10.07.1
giflib 6.1.3
git 2.55.0
git-lfs 3.7.1
git-when-merged 1.2.1
glib 2.88.2
gmp 6.3.0
go 1.26.5
graphite2 1.3.15
graphviz 15.1.0
gts 0.7.6_3
handbrake 1.11.2
harfbuzz 14.2.1
hatch 1.17.1
hdrhistogram_c 0.11.10
highway 1.4.0
hiredis 1.4.0
icu4c@78 78.3
imath 3.2.2
include-what-you-use 0.26
isl 0.28
jansson 2.15.1
jasper 4.2.9
jbig2dec 0.20
jpeg-turbo 3.2.0
jpeg-xl 0.12.0
jq 1.8.2
json-c 0.19
lame 4.0
latexindent 4.0.2
leptonica 1.87.0
libarchive 3.8.8
libass 0.17.5
libavif 1.4.2
libb2 0.98.1
libbluray 1.4.1
libdatrie 0.2.14
libdeflate 1.25
libdvdcss 1.5.0
libdvdnav 7.0.0
libdvdread 7.1.1
libffi 3.7.1
libidn 1.44
libmpc 1.4.1
libnghttp2 1.69.0
libnghttp3 1.18.0
libngtcp2 1.25.0
libogg 1.3.6
libpng 1.6.58
librsvg 2.62.3
libthai 0.1.30
libtiff 4.7.2
libtommath 1.3.0
libtool 2.6.2
libudfread 1.2.0
libunibreak 7.0
libunistring 1.4.2
libuv 1.52.1
libvmaf 3.2.0
libvorbis 1.3.7
libvpx 1.16.0
libx11 1.8.13
libxau 1.0.12
libxcb 1.17.0
libxdmcp 1.1.5
libxext 1.3.7
libxrender 0.9.12
libyaml 0.2.5
little-cms2 2.19
llhttp 9.4.2
llvm 22.1.8
lmod 9.3
lua@5.4 5.4.8
lz4 1.10.0
lzo 2.10
m4 1.4.21
macvim 9.2.0321
merve 1.2.2_1
mpdecimal 4.0.1
mpfr 4.2.2
mpg123 1.33.6
nbytes 0.1.4
netpbm 11.02.23
ninja 1.13.2
node 26.5.0_1
nox 2026.7.11
oniguruma 6.9.10
openexr 3.4.13_2
openjpeg 2.5.4
openjph 0.31.0
openssl@3 3.6.3
opus 1.6.1
pandoc 3.10.1
pango 1.58.0
pcre2 10.47_1
perl 5.42.2
pixman 0.46.4
pkgconf 3.0.4
pngcrush 1.8.13
poetry 2.4.1_4
pre-commit 4.6.1
pycparser 3.0
pyenv 2.8.1
python@3.14 3.14.6
readline 8.3.3
rename 1.601
reuse 6.2.0_1
ripgrep 15.2.0
ruby 4.0.6
simdjson 4.6.4
simdutf 9.0.0
spdlog 1.17.0
speex 1.2.1
sqlite 3.53.4
svt-av1 4.2.0
tcl-tk 9.0.4
tesseract 5.5.3
theora 1.2.0
typescript 7.0.2
uv 0.11.33
uvwasi 0.0.23
webp 1.6.0
x264 r3222
xorgproto 2025.1
xxhash 0.8.3
xz 5.8.3
z3 4.16.0
zimg 3.0.6
zstd 1.5.7_1
anaconda 2025.06-1
git-credential-manager 2.9.1
glance 1.5.4
iterm2 3.6.2
latexit 2.16.6
localsend 1.17.0
mactex-no-gui 2026.0324
vlc 3.0.23
